Track title,Album title,ArtistsDuration (ms),Artist IDs,Track ID,Album ID,
Hallelujah Money (feat. Benjamin Clementine),Humanz (Deluxe),Gorillaz | Benjamin Clementine,263106,2lLowL0Kf5vQjRxfLt6c1T,0NvirtaDCaZU5PAW1O5FDE,3AA28KZvwAUcZuOKwyblJQ | 7zHIrsSBL7A0gEJfzv1m7z
,,,,,,
We Got the Power (feat. Jehnny Beth),Humanz (Deluxe),Gorillaz | Jehnny Beth,139560,7hQ0ojbeqicGhw0wdUVeaN,0NvirtaDCaZU5PAW1O5FDE,3AA28KZvwAUcZuOKwyblJQ | 2WOMBqEsllg2ICn7D2L8ta
,,,,,,
Interlude: New World,Humanz (Deluxe),Gorillaz,81986,10KESL0iGcPxhB3ExT3p0D,0NvirtaDCaZU5PAW1O5FDE,3AA28KZvwAUcZuOKwyblJQ
,,,,,,
"The Apprentice (feat. Rag'n'Bone Man, Zebra Katz & RAY BLK)",Humanz (Deluxe),Gorillaz | Rag'n'Bone Man | Zebra Katz | RAY BLK,234933,67fRHOlaYQQFG67D9DkdnW,0NvirtaDCaZU5PAW1O5FDE,3AA28KZvwAUcZuOKwyblJQ | 4f9iBmdUOhQWeP7dcAn1pf | 5Tz4zMiRWqiQVAymWZz99a | 0CkbPVBpOwwz9NPPglFKyq
,,,,,,
Halfway to the Halfway House (feat. Peven Everett),Humanz (Deluxe),Gorillaz | Peven Everett,237240,7kjDZASDLVImDDBjuf6iuA,0NvirtaDCaZU5PAW1O5FDE,3AA28KZvwAUcZuOKwyblJQ | 0v2oB2xMS64U3lcU5DFuCY
,,,,,,
"Out of Body (feat. Kilo Kish, Zebra Katz & Imani Vonsh�)",Humanz (Deluxe),Gorillaz | Kilo Kish | Zebra Katz,224480,1venpPIzDTmjPBSVsM1IhB,0NvirtaDCaZU5PAW1O5FDE,3AA28KZvwAUcZuOKwyblJQ | 7lsnwlX6puQ7lcpSEpJbZE | 5Tz4zMiRWqiQVAymWZz99a
,,,,,,
Ticker Tape (feat. Carly Simon & Kali Uchis),Humanz (Deluxe),Gorillaz | Carly Simon | Kali Uchis,268586,46LDfGrOIJF85wfRZLrfbM,0NvirtaDCaZU5PAW1O5FDE,3AA28KZvwAUcZuOKwyblJQ | 4FtSnMlCVxCswABUmdhwpm | 1U1el3k54VvEUzo3ybLPlM
,,,,,,
Circle of Friendz (feat. Brandon Markell Holmes),Humanz (Deluxe),Gorillaz | Brandon Markell Holmes,129186,3A3gLRqz44irUJIt0Ru7TT,0NvirtaDCaZU5PAW1O5FDE,3AA28KZvwAUcZuOKwyblJQ | 49hxY3aryuNE1UJpuJ0YJf
,,,,,,
Intro: I Switched My Robot Off,Humanz (Deluxe),Gorillaz,24013,1JStcVfG4iLhxEymzS5Rru,7vaHWkYkkaqR3dQYpeXGZU,3AA28KZvwAUcZuOKwyblJQ
,,,,,,
Ascension (feat. Vince Staples),Humanz (Deluxe),Gorillaz | Vince Staples,155972,7fWxmiliyIkBNT3p2Myir2,7vaHWkYkkaqR3dQYpeXGZU,3AA28KZvwAUcZuOKwyblJQ | 68kEuyFKyqrdQQLLsmiatm
,,,,,,
Strobelite (feat. Peven Everett),Humanz (Deluxe),Gorillaz | Peven Everett,272666,6IjUTmjVX5QgQIArz4h6km,7vaHWkYkkaqR3dQYpeXGZU,3AA28KZvwAUcZuOKwyblJQ | 0v2oB2xMS64U3lcU5DFuCY
,,,,,,
Saturnz Barz (feat. Popcaan),Humanz (Deluxe),Gorillaz | Popcaan,181906,4pRIziKeRWZKhvnCjT2hL0,7vaHWkYkkaqR3dQYpeXGZU,3AA28KZvwAUcZuOKwyblJQ | 62DmErcU7dqZbJaDqwsqzR
,,,,,,
Momentz (feat. De La Soul),Humanz (Deluxe),Gorillaz | De La Soul,196905,02W0vy6pRIII7XSQMMT4aB,7vaHWkYkkaqR3dQYpeXGZU,3AA28KZvwAUcZuOKwyblJQ | 1Z8ODXyhEBi3WynYw0Rya6
,,,,,,
Interlude: The Non-Conformist Oath,Humanz (Deluxe),Gorillaz,21733,1I5qYUixj59lMX5eMm95Ay,7vaHWkYkkaqR3dQYpeXGZU,3AA28KZvwAUcZuOKwyblJQ
,,,,,,
Submission (feat. Danny Brown & Kelela),Humanz (Deluxe),Gorillaz | Danny Brown | Kelela,201573,6x73zR5gF1jMcScDoY1wco,7vaHWkYkkaqR3dQYpeXGZU,3AA28KZvwAUcZuOKwyblJQ | 7aA592KWirLsnfb5ulGWvU | 1U0sIzpRtDkvu1hXXzxh60
,,,,,,
Charger (feat. Grace Jones),Humanz (Deluxe),Gorillaz | Grace Jones,214386,5daP5PnixvOwXIsJj1FuF8,7vaHWkYkkaqR3dQYpeXGZU,3AA28KZvwAUcZuOKwyblJQ | 2f9ZiYA2ic1r1voObUimdd
,,,,,,
