Track title,Album title,ArtistsDuration (ms),Artist IDs,Track ID,Album ID
Moneytalks - Live - 1991,Live (Collector's Edition),AC/DC,269840,6clRKCagfZikejWk1er68O,6jOO0YHvuHP4UkJuDpcAoz,711MCceyCBcFnzjGY4Q7Un
Hells Bells - Live - 1991,Live (Collector's Edition),AC/DC,360866,3zEg8Ztp2RNK1rN2fNuUyu,6jOO0YHvuHP4UkJuDpcAoz,711MCceyCBcFnzjGY4Q7Un
Are You Ready - Live - 1991,Live (Collector's Edition),AC/DC,272866,5TXfht88qy2zLb13TIu47d,6jOO0YHvuHP4UkJuDpcAoz,711MCceyCBcFnzjGY4Q7Un
That's the Way I Wanna Rock 'N' Roll - Live - 1991,Live (Collector's Edition),AC/DC,236026,7ks1X6WVC5RI52ljlbG66p,6jOO0YHvuHP4UkJuDpcAoz,711MCceyCBcFnzjGY4Q7Un
High Voltage - Live - 1991,Live (Collector's Edition),AC/DC,632133,3orPMvpxWGqzWhYzpuXeAB,6jOO0YHvuHP4UkJuDpcAoz,711MCceyCBcFnzjGY4Q7Un
You Shook Me All Night Long - Live - 1991,Live (Collector's Edition),AC/DC,233133,0leqOXgFI7Klsd1d82sAqr,6jOO0YHvuHP4UkJuDpcAoz,711MCceyCBcFnzjGY4Q7Un
Whole Lotta Rosie - Live - 1991,Live (Collector's Edition),AC/DC,270200,0V6mxSZnwc59wL8KJ8x6PM,6jOO0YHvuHP4UkJuDpcAoz,711MCceyCBcFnzjGY4Q7Un
Let There Be Rock - Live - 1991,Live (Collector's Edition),AC/DC,736133,6DULdxBZGGDEf5VKVoIMgC,6jOO0YHvuHP4UkJuDpcAoz,711MCceyCBcFnzjGY4Q7Un
Bonny - Live - 1991,Live (Collector's Edition),AC/DC,63360,2CrEgRDdADE4td2Ot6KaOx,6jOO0YHvuHP4UkJuDpcAoz,711MCceyCBcFnzjGY4Q7Un
Highway to Hell - Live - 1991,Live (Collector's Edition),AC/DC,233000,3Hbbkj9PerBqZJ9DjINjN6,6jOO0YHvuHP4UkJuDpcAoz,711MCceyCBcFnzjGY4Q7Un
